City ID,City Name,Timezone,Weather Condition,Weather Description,Temperature,Feels Like,Max Temperature,Min Temperature,Humidity,Cloud Coverage,Visibility,Wind Speed,Wind Direction,Atmospheric Pressure (hPa),Sea Level Pressure (hPa),Ground Level Pressure (hPa),Sunrise Time (Local),Sunset Time (Local),Latitude,Longitude
4046255,Bay Minette,-5 UTC,Clouds,overcast clouds,23.64 °C,23.84 °C,24.25 °C,23.28 °C,68%,92%,10000 m,4.56 m/s,199°,1012,1012,1006,05:57 AM,07:37 PM,30.883,-87.773
4046274,Edna,-5 UTC,Clear,clear sky,31.68 °C,30.68 °C,32.23 °C,30.49 °C,32%,0%,10000 m,1.79 m/s,242°,1011,1011,1009,06:36 AM,08:09 PM,28.9786,-96.6461
4046319,Bayou La Batre,-5 UTC,Clouds,scattered clouds,23.09 °C,23.26 °C,23.63 °C,22.79 °C,69%,44%,10000 m,5.58 m/s,213°,1012,1012,1010,06:00 AM,07:38 PM,30.4035,-88.2485
4046332,Henderson,-5 UTC,Clouds,overcast clouds,26.29 °C,26.29 °C,26.29 °C,26.29 °C,62%,100%,10000 m,3.24 m/s,273°,1011,1011,996,06:23 AM,08:07 PM,32.1532,-94.7994
4046430,Natalia,-5 UTC,Clear,clear sky,34.05 °C,32.58 °C,35.79 °C,32.22 °C,25%,6%,10000 m,2.86 m/s,213°,1012,1012,985,06:45 AM,08:18 PM,29.1897,-98.8625
4046440,Northrup,-5 UTC,Clouds,scattered clouds,28.86 °C,28.07 °C,28.86 °C,28.86 °C,35%,30%,10000 m,1.73 m/s,328°,1012,1012,997,06:36 AM,08:12 PM,30.1005,-96.9703
4046472,Primrose,-5 UTC,Clear,clear sky,27.61 °C,27.87 °C,28.81 °C,26.26 °C,48%,2%,10000 m,1.79 m/s,292°,1011,1011,982,06:33 AM,08:19 PM,32.6115,-97.4334
4046499,Bear Creek,-5 UTC,Clouds,broken clouds,23.9 °C,24.2 °C,23.9 °C,23.9 °C,71%,59%,10000 m,3.75 m/s,171°,1010,1010,981,05:50 AM,07:43 PM,34.2748,-87.7006
4046704,Fort Hunt,-4 UTC,Clouds,overcast clouds,23.9 °C,24.12 °C,25.25 °C,22.54 °C,68%,100%,10000 m,1.79 m/s,136°,1022,1022,1015,05:58 AM,08:10 PM,38.7329,-77.058
4046760,Jack,-4 UTC,Rain,light rain,21.35 °C,21.53 °C,21.86 °C,21.06 °C,76%,100%,10000 m,2.47 m/s,159°,1021,1021,1014,06:03 AM,08:08 PM,37.1965,-77.5091
